num,newpleas
1,79.00
2,39.00
3,.
4,45.67
5,81.50
6,49.00
7,33.28
8,36.50
9,81.50
10,33.28
11,29.00
12,44.00
13,69.00
14,37.18
15,.
16,39.00
17,16.14
18,39.00
19,49.77
20,33.28
21,39.00
22,.
23,74.00
24,12.85
25,51.50
26,51.50
27,77.00
28,35.00
29,81.50
30,-1.00
31,45.67
32,67.57
33,49.77
34,41.86
35,.
36,29.00
37,19.00
38,79.00
39,41.86
40,49.77
41,45.67
42,37.18
43,53.55
44,59.00
45,44.00
46,21.50
47,45.67
48,33.28
49,.
50,29.00
51,39.00
52,52.33
53,44.00
54,77.00
55,39.00
56,.
57,39.00
58,36.50
59,33.28
60,81.50
61,33.28
62,45.67
63,29.00
64,29.00
65,41.86
66,36.50
67,67.57
68,59.00
69,45.67
70,9.00
71,59.00
72,.
73,93.28
74,53.55
75,49.00
76,39.00
77,39.00
78,53.55
79,49.00
80,33.28
81,79.00
82,36.50
83,36.50
84,59.00
85,.
86,.
87,29.00
88,44.00
89,29.00
90,33.28
91,29.00
92,79.00
93,39.00
94,59.00
95,19.00
96,36.50
97,77.00
98,59.00
99,39.00
100,29.00
